2021-11-23T09:23:03.1418175+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-11-23T09:23:03.1526967+05:30  [INF] Hosting environment: "Development" (c3307c92)
2021-11-23T09:23:03.1550977+05:30  [INF] Content root path: "D:\HelloMVCWorld\HelloMVCWorld" (b5d60022)
2021-11-23T09:23:03.1679342+05:30 80000002-0005-fc00-b63f-84710c7967bb [INF] Request Start / (f1db6d29)
2021-11-23T09:23:03.5901584+05:30 80000002-0005-fc00-b63f-84710c7967bb [INF] Request Executed / (4b4fca04)
2021-11-23T09:23:03.6577485+05:30 80000002-0004-fa00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:23:03.6641859+05:30 80000002-0004-fa00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:23:03.6718403+05:30 80000016-0007-fe00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:23:03.6823946+05:30 80000016-0007-fe00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-23T09:23:06.5448209+05:30 80000012-000b-fe00-b63f-84710c7967bb [INF] Request Start /Home/apiData (3712ccac)
2021-11-23T09:23:06.5886747+05:30 80000012-000b-fe00-b63f-84710c7967bb [INF] Request Executed /Home/apiData (68250792)
2021-11-23T09:23:06.6321847+05:30 80000004-0004-fa00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:23:06.6371824+05:30 80000004-0004-fa00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:23:06.6445793+05:30 8000004f-0008-fe00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:23:06.6502900+05:30 8000004f-0008-fe00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-23T09:48:22.8412462+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-11-23T09:48:22.8538445+05:30  [INF] Hosting environment: "Development" (c3307c92)
2021-11-23T09:48:22.8562412+05:30  [INF] Content root path: "D:\HelloMVCWorld\HelloMVCWorld" (b5d60022)
2021-11-23T09:48:22.8804872+05:30 80000023-0004-fc00-b63f-84710c7967bb [INF] Request Start / (f1db6d29)
2021-11-23T09:48:23.2587962+05:30 80000023-0004-fc00-b63f-84710c7967bb [INF] Request Executed / (4b4fca04)
2021-11-23T09:48:23.3141348+05:30 80000002-0009-fd00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:48:23.3218979+05:30 80000002-0009-fd00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:48:23.3308430+05:30 80000120-0006-fe00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:48:23.3426235+05:30 80000120-0006-fe00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-23T09:48:25.1199345+05:30 80000038-0000-ff00-b63f-84710c7967bb [INF] Request Start /Sessions (3edf5213)
2021-11-23T09:50:01.6054732+05:30 80000038-0000-ff00-b63f-84710c7967bb [INF] Request Executed /Sessions (9d41467d)
2021-11-23T09:50:01.7013409+05:30 8000003a-0000-ff00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:50:01.7052701+05:30 8000003a-0000-ff00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:50:01.7131701+05:30 80000051-0008-fe00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:50:01.7192387+05:30 80000051-0008-fe00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-23T09:50:48.3271718+05:30 80000036-0002-ff00-b63f-84710c7967bb [INF] Request Start /Sessions (3edf5213)
2021-11-23T09:50:48.4572193+05:30 80000036-0002-ff00-b63f-84710c7967bb [INF] Request Executed /Sessions (9d41467d)
2021-11-23T09:50:48.4927432+05:30 80000122-0006-fe00-b63f-84710c7967bb [INF] Request Start /Sessions (3edf5213)
2021-11-23T09:50:48.5200489+05:30 80000122-0006-fe00-b63f-84710c7967bb [INF] Request Executed /Sessions (9d41467d)
2021-11-23T09:50:48.5531109+05:30 80000025-0004-fc00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:50:48.5566946+05:30 80000025-0004-fc00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:50:48.5637565+05:30 80000014-000b-fe00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:50:48.5687059+05:30 80000014-000b-fe00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-23T09:50:51.1090167+05:30 8000003c-0000-ff00-b63f-84710c7967bb [INF] Request Start /Sessions (3edf5213)
2021-11-23T09:50:51.1276402+05:30 8000003c-0000-ff00-b63f-84710c7967bb [INF] Request Executed /Sessions (9d41467d)
2021-11-23T09:50:51.1350453+05:30 8000003e-0000-ff00-b63f-84710c7967bb [INF] Request Start /Sessions (3edf5213)
2021-11-23T09:50:51.1553904+05:30 8000003e-0000-ff00-b63f-84710c7967bb [INF] Request Executed /Sessions (9d41467d)
2021-11-23T09:50:51.1927669+05:30 80000027-0004-fc00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:50:51.1966649+05:30 80000027-0004-fc00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:50:51.2051936+05:30 80000053-0008-fe00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:50:51.2094052+05:30 80000053-0008-fe00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-23T09:51:13.4709173+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-11-23T09:51:13.4838693+05:30  [INF] Hosting environment: "Development" (c3307c92)
2021-11-23T09:51:13.4869292+05:30  [INF] Content root path: "D:\HelloMVCWorld\HelloMVCWorld" (b5d60022)
2021-11-23T09:51:13.5039955+05:30 80000016-000b-fe00-b63f-84710c7967bb [INF] Request Start / (f1db6d29)
2021-11-23T09:51:13.8812851+05:30 80000016-000b-fe00-b63f-84710c7967bb [INF] Request Executed / (4b4fca04)
2021-11-23T09:51:13.9454194+05:30 80000124-0006-fe00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:51:13.9513252+05:30 80000124-0006-fe00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:51:13.9592992+05:30 80000040-0000-ff00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:51:13.9680730+05:30 80000040-0000-ff00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
2021-11-23T09:51:20.6588145+05:30 80000042-0000-ff00-b63f-84710c7967bb [INF] Request Start /Sessions (3edf5213)
2021-11-23T09:51:53.2866186+05:30 80000042-0000-ff00-b63f-84710c7967bb [INF] Request Executed /Sessions (9d41467d)
2021-11-23T09:51:53.3308542+05:30 80000038-0002-ff00-b63f-84710c7967bb [INF] Request Start /favicon.ico (5236a2f7)
2021-11-23T09:51:53.3345035+05:30 80000038-0002-ff00-b63f-84710c7967bb [INF] Request Executed /favicon.ico (e072cd57)
2021-11-23T09:51:53.3421468+05:30 80000055-0008-fe00-b63f-84710c7967bb [INF] Request Start /Error/Error404Handling (f8219ab5)
2021-11-23T09:51:53.3478582+05:30 80000055-0008-fe00-b63f-84710c7967bb [INF] Request Executed /Error/Error404Handling (01d1772a)
